,U235,U238
"(n,2n)",10017038834544.314,183749911281107.72
"(n,3n)",8011672011.727293,1160581867529.8518
"(n,4n)",2840298.0179737792,235197342.75497106
"(n,a)",74393958.42371796,98931765.9857337
"(n,gamma)",5764701209638539.0,1.0481570714210212e+16
"(n,p)",234710824.7582841,912483969.1155518
fission,2.773921123247252e+16,4418593918556806.5
